Modell;Szenario;Monat;Kunden;Umsatz;Fixkosten;Variable_Kosten;Ergebnis_vor_Steuern;Kumulierter_Cashflow
S01;konservativ;0;0;0;0;42500;-42500;-42500
S01;konservativ;1;0.0;0;1800;0;-1800;-44300
S01;konservativ;2;0.0;0;1800;0;-1800;-46100
S01;konservativ;3;0.0;0;1800;0;-1800;-47900
S01;konservativ;4;0.0;0;4300;0;-4300;-52200
S01;konservativ;5;0.0;0;4300;0;-4300;-56500
S01;konservativ;6;0.0;0;4300;0;-4300;-60800
S01;konservativ;7;1.0;3000;4700;3120;-4820;-65620
S01;konservativ;8;2.0;3492;4700;3238;-4446;-70066
S01;konservativ;9;3.0;3978;4700;3355;-4077;-74143
S01;konservativ;10;3.9;4647;4700;3632;-3685;-77828
S01;konservativ;11;4.9;5306;4700;3905;-3299;-81127
S01;konservativ;12;5.8;5955;4700;4174;-2919;-84046
S01;konservativ;13;7.7;9594;9200;7559;-7165;-91211
S01;konservativ;14;9.6;10716;9200;7938;-6421;-97632
S01;konservativ;15;11.4;11822;9200;8311;-5689;-103322
S01;konservativ;16;13.3;13101;13100;8841;-8840;-112162
S01;konservativ;17;15.1;14362;13100;9364;-8101;-120263
S01;konservativ;18;16.8;15604;13100;9878;-7374;-127637
S01;konservativ;19;19.6;19827;13900;13505;-7578;-135215
S01;konservativ;20;22.3;21525;13900;14122;-6498;-141712
S01;konservativ;21;25.0;23197;19550;14730;-11084;-152796
S01;konservativ;22;27.6;25034;19550;15492;-10007;-162803
S01;konservativ;23;30.2;26845;19550;16242;-8947;-171750
S01;konservativ;24;32.7;28628;19550;16980;-7902;-179652
S01;realistisch;0;0;0;0;36000;-36000;-36000
S01;realistisch;1;0.0;0;1800;0;-1800;-37800
S01;realistisch;2;0.0;0;1800;0;-1800;-39600
S01;realistisch;3;0.0;0;1800;0;-1800;-41400
S01;realistisch;4;0.0;0;4300;0;-4300;-45700
S01;realistisch;5;1.0;4800;4300;3130;-2630;-48330
S01;realistisch;6;2.0;5592;4300;3259;-1967;-50297
S01;realistisch;7;3.0;6376;4700;3386;-1710;-52007
S01;realistisch;8;3.9;7734;4700;3990;-955;-52962
S01;realistisch;9;4.9;9079;4700;4587;-208;-53170
S01;realistisch;10;6.9;15211;4700;8309;2202;-50968
S01;realistisch;11;8.8;17321;8600;9023;-302;-51270
S01;realistisch;12;10.7;19410;8600;9730;1080;-50190
S01;realistisch;13;12.6;22060;13100;10908;-1948;-52138
S01;realistisch;14;14.5;24684;18750;12073;-6139;-58277
S01;realistisch;15;16.3;27281;18750;13227;-4696;-62973
S01;realistisch;16;19.2;34653;18750;17500;-1597;-64570
S01;realistisch;17;22.0;37991;27300;18760;-8069;-72639
S01;realistisch;18;24.7;41295;27300;20007;-6012;-78651
S01;realistisch;19;27.5;45149;28100;21719;-4670;-83321
S01;realistisch;20;30.2;48964;33750;23414;-8200;-91521
S01;realistisch;21;33.9;57541;33750;28222;-4431;-95952
S01;realistisch;22;37.6;62072;37800;30012;-5740;-101692
S01;realistisch;23;41.2;66558;37800;31784;-3026;-104718
S01;realistisch;24;44.8;71581;37800;34016;-235;-104953
S01;ambitioniert;0;0;0;0;30000;-30000;-30000
S01;ambitioniert;1;0.0;0;1800;0;-1800;-31800
S01;ambitioniert;2;0.0;0;1800;0;-1800;-33600
S01;ambitioniert;3;0.0;0;1800;0;-1800;-35400
S01;ambitioniert;4;2.0;14400;4300;6280;3820;-31580
S01;ambitioniert;5;4.0;16783;4300;6558;5925;-25655
S01;ambitioniert;6;6.0;19150;4300;6834;8016;-17639
S01;ambitioniert;7;7.9;24437;8600;9458;6379;-11260
S01;ambitioniert;8;9.9;29687;14250;12064;3373;-7887
S01;ambitioniert;9;12.8;42101;14250;17791;10060;2173
S01;ambitioniert;10;15.7;48470;22800;20500;5170;7343
S01;ambitioniert;11;18.6;54794;28450;23189;3155;10497
S01;ambitioniert;12;21.5;62543;28450;27035;7058;17555
S01;ambitioniert;13;24.3;70237;37000;30854;2383;19938
S01;ambitioniert;14;27.1;77877;37000;34646;6232;26170
S01;ambitioniert;15;31.0;92664;42650;41551;8463;34634
S01;ambitioniert;16;34.7;101390;46700;45429;9261;43895
S01;ambitioniert;17;38.5;110054;46700;49280;14074;57969
S01;ambitioniert;18;42.2;120127;52350;54279;13498;71467
S01;ambitioniert;19;45.9;130129;57200;59243;13686;85153
S01;ambitioniert;20;49.6;140061;57200;64172;18689;103842
S01;ambitioniert;21;55.3;164323;62850;75347;26127;129968
S01;ambitioniert;22;60.9;176500;66900;80485;29115;159083
S01;ambitioniert;23;66.4;188591;66900;85588;36104;195187
S01;ambitioniert;24;72.0;203536;72550;93005;37981;233168
S02;konservativ;0;0;0;0;38500;-38500;-38500
S02;konservativ;1;0.0;0;1800;0;-1800;-40300
S02;konservativ;2;0.0;0;1800;0;-1800;-42100
S02;konservativ;3;0.0;0;1800;0;-1800;-43900
S02;konservativ;4;1.0;1929;4300;2780;-5151;-49051
S02;konservativ;5;2.0;2347;4300;2858;-4811;-53862
S02;konservativ;6;2.9;2755;4300;2934;-4479;-58341
S02;konservativ;7;3.9;3153;4700;3008;-4555;-62896
S02;konservativ;8;4.8;3540;4700;3080;-4240;-67136
S02;konservativ;9;5.6;3918;4700;3151;-3933;-71069
S02;konservativ;10;7.5;6216;4700;6000;-4484;-75553
S02;konservativ;11;9.3;6994;4700;6145;-3851;-79404
S02;konservativ;12;11.1;7752;4700;6286;-3234;-82638
S02;konservativ;13;12.8;8491;9200;6424;-7133;-89771
S02;konservativ;14;14.5;9212;9200;6558;-6547;-96318
S02;konservativ;15;16.1;9914;9200;6689;-5975;-102293
S02;konservativ;16;18.7;12528;13100;9597;-10169;-112462
S02;konservativ;17;21.2;13615;13100;9800;-9285;-121747
S02;konservativ;18;23.7;14674;13100;9997;-8423;-130170
S02;konservativ;19;26.1;15707;13900;10190;-8383;-138553
S02;konservativ;20;28.5;16713;13900;10378;-7564;-146117
S02;konservativ;21;30.8;17695;13900;10561;-6766;-152883
S02;konservativ;22;33.0;18652;13900;10739;-5987;-158870
S02;konservativ;23;35.2;19585;19550;10913;-10878;-169748
S02;konservativ;24;37.3;20495;19550;11083;-10138;-179885
S02;realistisch;0;0;0;0;30000;-30000;-30000
S02;realistisch;1;0.0;0;1800;0;-1800;-31800
S02;realistisch;2;0.0;0;1800;0;-1800;-33600
S02;realistisch;3;2.0;6658;1800;5662;-804;-34404
S02;realistisch;4;4.0;8286;4300;5919;-1933;-36337
S02;realistisch;5;5.9;9885;4300;6172;-587;-36924
S02;realistisch;6;7.8;11455;4300;6420;735;-36189
S02;realistisch;7;9.6;12997;4700;6664;1633;-34556
S02;realistisch;8;11.5;14511;8600;6903;-992;-35548
S02;realistisch;9;14.3;19327;8600;9969;758;-34790
S02;realistisch;10;17.0;21601;8600;10328;2673;-32117
S02;realistisch;11;19.7;23834;14250;10681;-1097;-33214
S02;realistisch;12;22.3;26027;14250;11028;749;-32465
S02;realistisch;13;24.9;28181;18750;11368;-1937;-34402
S02;realistisch;14;27.5;30295;18750;11702;-157;-34559
S02;realistisch;15;30.0;32372;18750;12030;1592;-32968
S02;realistisch;16;33.5;37740;27300;15184;-4743;-37711
S02;realistisch;17;36.9;40557;27300;15629;-2372;-40083
